"Date","eur"
"2019-10-10","71.4511"
"2019-10-09","71.2372"
"2019-10-08","71.1464"
"2019-10-05","71.3509"
"2019-10-04","71.2991"
"2019-10-03","71.4669"
"2019-10-02","70.8449"
"2019-10-01","70.7169"
"2019-09-28","70.3161"
"2019-09-27","70.3834"
"2019-09-26","70.5868"
"2019-09-25","70.0193"
"2019-09-24","70.2759"
"2019-09-21","70.5975"
"2019-09-20","70.9373"
"2019-09-19","71.2391"
"2019-09-18","70.604"
"2019-09-17","70.6695"
"2019-09-14","71.5307"
"2019-09-13","71.8273"
"2019-09-12","72.224"
"2019-09-11","72.3039"
"2019-09-10","72.33"
"2019-09-07","72.8883"
"2019-09-06","72.8761"
"2019-09-05","73.0638"
"2019-09-04","73.2032"
"2019-09-03","73.1726"
"2019-08-31","73.3847"
"2019-08-30","73.9558"
"2019-08-29","73.6583"
"2019-08-28","73.6091"
"2019-08-27","73.3955"
"2019-08-24","72.6243"
"2019-08-23","72.8312"
"2019-08-22","73.4989"
"2019-08-21","73.9766"
"2019-08-20","73.9484"
"2019-08-17","73.2227"
"2019-08-16","73.455"
"2019-08-15","72.9037"
"2019-08-14","73.4149"
"2019-08-13","73.1231"
"2019-08-10","73.0196"
"2019-08-09","73.0432"
"2019-08-08","72.8914"
"2019-08-07","73.073"
"2019-08-06","72.3732"
"2019-08-03","71.7077"
"2019-08-02","70.4727"
"2019-08-01","70.7355"
"2019-07-31","70.598"
"2019-07-30","70.6417"
"2019-07-27","70.311"
"2019-07-26","70.294"
"2019-07-25","70.3241"
"2019-07-24","70.635"
"2019-07-23","70.6546"
"2019-07-20","70.7941"
"2019-07-19","70.6068"
"2019-07-18","70.5552"
"2019-07-17","70.6771"
"2019-07-16","70.8574"
"2019-07-13","71.0114"
"2019-07-12","71.0073"
"2019-07-11","71.5631"
"2019-07-10","71.4626"
"2019-07-09","71.7067"
"2019-07-06","71.6593"
"2019-07-05","71.542"
"2019-07-04","71.6034"
"2019-07-03","71.408"
"2019-07-02","71.3962"
"2019-06-29","71.8179"
"2019-06-28","71.6635"
"2019-06-27","71.3816"
"2019-06-26","71.2323"
"2019-06-25","71.5973"
"2019-06-22","71.349"
"2019-06-21","71.5457"
"2019-06-20","71.6377"
"2019-06-19","72.2291"
"2019-06-18","72.1077"
"2019-06-15","72.6993"
"2019-06-14","73.0141"
"2019-06-13","73.0448"
"2019-06-12","73.0448"
"2019-06-11","73.2148"
"2019-06-08","73.2605"
"2019-06-07","73.2708"
"2019-06-06","73.369"
"2019-06-05","73.4239"
"2019-06-04","73.218"
"2019-06-01","72.8436"
"2019-05-31","72.4229"
"2019-05-30","72.4118"
"2019-05-29","72.168"
"2019-05-28","72.1863"
"2019-05-25","72.3186"
"2019-05-24","71.8369"
"2019-05-23","71.8427"
"2019-05-22","71.9654"
"2019-05-21","71.9631"
"2019-05-18","72.2464"
"2019-05-17","72.3651"
"2019-05-16","72.6891"
"2019-05-15","73.3712"
"2019-05-14","73.5231"
"2019-05-11","73.0888"
"2019-05-10","73.0888"
"2019-05-09","73.0888"
"2019-05-08","73.0817"
"2019-05-07","73.1099"
"2019-05-04","72.3096"
"2019-05-03","72.3096"
"2019-05-02","72.3096"
"2019-05-01","72.3096"
"2019-04-30","72.2024"
"2019-04-27","72.0882"
"2019-04-26","72.1111"
"2019-04-25","71.715"
"2019-04-24","71.7453"
"2019-04-23","71.721"
"2019-04-20","71.9232"
"2019-04-19","72.244"
"2019-04-18","72.3602"
"2019-04-17","72.6515"
"2019-04-16","72.7018"
"2019-04-13","72.8398"
"2019-04-12","72.6551"
"2019-04-11","72.946"
"2019-04-10","72.9708"
"2019-04-09","73.3617"
"2019-04-06","73.4392"
"2019-04-05","73.4223"
"2019-04-04","73.1725"
"2019-04-03","73.3162"
"2019-04-02","73.4967"
"2019-03-30","72.723"
"2019-03-29","72.8884"
"2019-03-28","72.7182"
"2019-03-27","72.5808"
"2019-03-26","72.9229"
"2019-03-23","72.59"
"2019-03-22","72.787"
"2019-03-21","72.9389"
"2019-03-20","72.9995"
"2019-03-19","73.361"
"2019-03-16","74.0686"
"2019-03-15","74.0613"
"2019-03-14","74.0237"
"2019-03-13","74.0672"
"2019-03-12","74.2896"
"2019-03-09","74.573"
"2019-03-08","74.573"
"2019-03-07","74.4158"
"2019-03-06","74.5058"
"2019-03-05","74.7438"
"2019-03-02","74.8048"
"2019-03-01","74.9691"
"2019-02-28","74.8249"
"2019-02-27","74.4898"
"2019-02-26","74.0876"
"2019-02-23","74.3332"
"2019-02-22","74.2963"
"2019-02-21","74.6816"
"2019-02-20","74.8151"
"2019-02-19","74.9055"
"2019-02-16","75.2492"
"2019-02-15","75.0471"
"2019-02-14","74.3872"
"2019-02-13","74.1459"
"2019-02-12","74.3243"
"2019-02-09","74.8954"
"2019-02-08","74.9656"
"2019-02-07","74.7703"
"2019-02-06","74.9127"
"2019-02-05","75.0565"
"2019-02-02","75.148"
"2019-02-01","75.2006"
"2019-01-31","75.5706"
"2019-01-30","75.8811"
"2019-01-29","75.1932"
"2019-01-26","74.6312"
"2019-01-25","75.0306"
"2019-01-24","75.3861"
"2019-01-23","75.5541"
"2019-01-22","75.5481"
"2019-01-19","75.5841"
"2019-01-18","75.633"
"2019-01-17","76.135"
"2019-01-16","76.9498"
"2019-01-15","77.0692"
"2019-01-12","77.1282"
"2019-01-11","77.2105"
"2019-01-10","76.9066"
"2018-12-30","79.4605"
"2018-12-29","79.6581"
"2018-12-28","78.388"
"2018-12-27","78.5237"
"2018-12-26","78.4309"
"2018-12-25","77.8886"
"2018-12-22","77.9717"
"2018-12-21","76.9377"
"2018-12-20","76.4742"
"2018-12-19","75.7761"
"2018-12-18","75.3814"
"2018-12-15","75.389"
"2018-12-14","75.3916"
"2018-12-13","75.2168"
"2018-12-12","75.6197"
"2018-12-11","75.7075"
"2018-12-08","76.0777"
"2018-12-07","75.6071"
"2018-12-06","75.7051"
"2018-12-05","75.6562"
"2018-12-04","75.3874"
"2018-12-01","75.7484"
"2018-11-30","75.8897"
"2018-11-29","75.5191"
"2018-11-28","75.6217"
"2018-11-27","75.5655"
"2018-11-24","74.9385"
"2018-11-23","74.8048"
"2018-11-22","75.1483"
"2018-11-21","75.1825"
"2018-11-20","75.3218"
"2018-11-17","74.9022"
"2018-11-16","75.5358"
"2018-11-15","76.7556"
"2018-11-14","76.0737"
"2018-11-13","76.0926"
"2018-11-10","75.8076"
"2018-11-09","75.6711"
"2018-11-08","75.6817"
"2018-11-07","75.3158"
"2018-11-06","74.9906"
"2018-11-03","74.9906"
"2018-11-02","74.5803"
"2018-11-01","74.4189"
"2018-10-31","74.7918"
"2018-10-30","75.0399"
"2018-10-27","74.6658"
"2018-10-26","74.9851"
"2018-10-25","75.0806"
"2018-10-24","74.8584"
"2018-10-23","75.3702"
"2018-10-20","75.3241"
"2018-10-19","75.5692"
"2018-10-18","75.6512"
"2018-10-17","75.9236"
"2018-10-16","76.054"
"2018-10-13","76.5047"
"2018-10-12","77.0824"
"2018-10-11","76.071"
"2018-10-10","76.211"
"2018-10-09","76.987"
"2018-10-06","76.661"
"2018-10-05","76.0505"
"2018-10-04","75.7353"
"2018-10-03","75.2272"
"2018-10-02","75.9877"
"2018-09-29","76.2294"
"2018-09-28","77.0407"
"2018-09-27","77.3846"
"2018-09-26","77.3832"
"2018-09-25","77.6844"
"2018-09-22","78.0753"
"2018-09-21","77.7529"
"2018-09-20","78.3613"
"2018-09-19","79.1749"
"2018-09-18","79.3595"
"2018-09-15","79.9521"
"2018-09-14","79.7699"
"2018-09-13","80.6488"
"2018-09-12","81.3942"
"2018-09-11","80.6702"
"2018-09-08","80.3562"
"2018-09-07","79.3685"
"2018-09-06","79.1362"
"2018-09-05","79.02"
"2018-09-04","78.6376"
"2018-09-01","79.4966"
"2018-08-31","79.6765"
"2018-08-30","79.5594"
"2018-08-29","78.76"
"2018-08-28","78.2269"
"2018-08-25","78.4072"
"2018-08-24","79.2502"
"2018-08-23","78.1983"
"2018-08-22","77.3491"
"2018-08-21","76.7204"
"2018-08-18","76.1848"
"2018-08-17","76.0576"
"2018-08-16","75.2253"
"2018-08-15","76.2325"
"2018-08-14","77.6519"
"2018-08-11","76.676"
"2018-08-10","76.825"
"2018-08-09","73.8211"
"2018-08-08","73.5632"
"2018-08-07","73.4095"
"2018-08-04","73.4744"
"2018-08-03","73.4206"
"2018-08-02","73.1064"
"2018-08-01","73.0738"
"2018-07-31","73.2021"
"2018-07-28","73.3442"
"2018-07-27","73.8181"
"2018-07-26","73.751"
"2018-07-25","73.5261"
"2018-07-24","74.1286"
"2018-07-21","73.9327"
"2018-07-20","73.4808"
"2018-07-19","73.1345"
"2018-07-18","73.2427"
"2018-07-17","72.7955"
"2018-07-14","72.4659"
"2018-07-13","72.6817"
"2018-07-12","72.8472"
"2018-07-11","73.347"
"2018-07-10","73.9365"
"2018-07-07","73.9028"
"2018-07-06","73.9641"
"2018-07-05","73.7097"
"2018-07-04","73.7012"
"2018-07-03","73.469"
"2018-06-30","72.9921"
"2018-06-29","73.0884"
"2018-06-28","73.6038"
"2018-06-27","73.4087"
"2018-06-26","73.3112"
"2018-06-23","73.7247"
"2018-06-22","73.6871"
"2018-06-21","73.6118"
"2018-06-20","74.1847"
"2018-06-19","73.4825"
"2018-06-16","72.5329"
"2018-06-15","73.5621"
"2018-06-14","74.1365"
"2018-06-10","73.3654"
"2018-06-09","73.7916"
"2018-06-08","73.0686"
"2018-06-07","72.8637"
"2018-06-06","72.513"
"2018-06-05","72.4384"
"2018-06-02","72.7183"
"2018-06-01","72.5806"
"2018-05-31","72.5211"
"2018-05-30","72.5269"
"2018-05-29","72.8322"
"2018-05-26","72.1183"
"2018-05-25","72.0082"
"2018-05-24","72.1826"
"2018-05-23","72.239"
"2018-05-22","73.3321"
"2018-05-19","73.1769"
"2018-05-18","73.0236"
"2018-05-17","73.7796"
"2018-05-16","73.8601"
"2018-05-15","73.943"
"2018-05-12","73.5145"
"2018-05-11","74.1772"
"2018-05-09","75.0409"
"2018-05-08","74.8125"
"2018-05-05","75.6392"
"2018-05-04","76.1261"
"2018-05-03","76.23"
"2018-05-01","75.87"
"2018-04-29","75.2056"
"2018-04-28","75.7605"
"2018-04-27","76.1812"
"2018-04-26","75.3281"
"2018-04-25","75.2121"
"2018-04-24","75.7924"
"2018-04-21","75.6532"
"2018-04-20","75.4034"
"2018-04-19","76.0868"
"2018-04-18","75.8448"
"2018-04-17","76.8403"
"2018-04-14","75.7507"
"2018-04-13","76.7569"
"2018-04-12","79.2839"
"2018-04-11","76.8522"
"2018-04-10","71.8847"
"2018-04-07","70.7069"
"2018-04-06","70.5926"
"2018-04-05","70.958"
"2018-04-04","70.9207"
"2018-04-03","70.6038"
"2018-03-31","70.5618"
"2018-03-30","71.0942"
"2018-03-29","71.3339"
"2018-03-28","71.2625"
"2018-03-27","70.5708"
"2018-03-24","70.4303"
"2018-03-23","70.31"
"2018-03-22","70.5699"
"2018-03-21","71.2347"
"2018-03-20","70.6049"
"2018-03-17","70.8099"
"2018-03-16","70.5151"
"2018-03-15","70.5338"
"2018-03-14","70.1564"
"2018-03-13","69.7972"
"2018-03-10","70.15"
"2018-03-08","70.5299"
"2018-03-07","69.7317"
"2018-03-06","70.1702"
"2018-03-03","69.4671"
"2018-03-02","68.8826"
"2018-03-01","68.9062"
"2018-02-28","68.6599"
"2018-02-27","68.9224"
"2018-02-23","69.6341"
"2018-02-22","69.8087"
"2018-02-21","69.8928"
"2018-02-20","69.9001"
"2018-02-17","70.6471"
"2018-02-16","70.6718"
"2018-02-15","71.2329"
"2018-02-14","71.167"
"2018-02-13","71.245"
"2018-02-10","71.3943"
"2018-02-09","70.7713"
"2018-02-08","70.531"
"2018-02-07","70.9294"
"2018-02-06","70.4959"
"2018-02-03","70.0958"
"2018-02-02","69.7921"
"2018-02-01","69.9322"
"2018-01-31","69.5424"
"2018-01-30","69.8513"
"2018-01-27","69.6073"
"2018-01-26","69.458"
"2018-01-25","69.4484"
"2018-01-24","69.0702"
"2018-01-23","69.265"
"2018-01-20","69.3953"
"2018-01-19","69.2582"
"2018-01-18","69.173"
"2018-01-17","69.0243"
"2018-01-16","68.8174"
"2018-01-13","68.2562"
"2018-01-12","68.0586"
"2018-01-11","67.8841"
"2018-01-10","68.2103"
"2018-01-06","68.7425"
"2018-01-05","68.8575"
"2018-01-04","69.215"
"2017-12-30","68.8668"
"2017-12-29","68.7861"
"2017-12-28","68.2328"
"2017-12-27","68.5422"
"2017-12-26","69.0937"
"2017-12-23","69.1268"
"2017-12-22","69.522"
"2017-12-21","69.5033"
"2017-12-20","69.1735"
"2017-12-19","69.0946"
"2017-12-16","69.4298"
"2017-12-15","69.4048"
"2017-12-14","69.4653"
"2017-12-13","69.2982"
"2017-12-12","69.8023"
"2017-12-09","69.6434"
"2017-12-08","69.9323"
"2017-12-07","69.706"
"2017-12-06","69.6327"
"2017-12-05","69.9104"
"2017-12-02","69.7478"
"2017-12-01","69.5185"
"2017-11-30","69.204"
"2017-11-29","69.4934"
"2017-11-28","69.4957"
"2017-11-25","69.3309"
"2017-11-24","69.1783"
"2017-11-23","69.403"
"2017-11-22","69.8184"
"2017-11-21","69.6654"
"2017-11-18","70.3604"
"2017-11-17","70.704"
"2017-11-16","71.1721"
"2017-11-15","69.6787"
"2017-11-14","68.9178"
"2017-11-11","68.9791"
"2017-11-10","68.7865"
"2017-11-09","68.704"
"2017-11-08","67.7677"
"2017-11-04","68.0822"
"2017-11-03","67.677"
"2017-11-02","67.7107"
"2017-11-01","67.6434"
"2017-10-31","67.2179"
"2017-10-28","67.5276"
"2017-10-27","68.289"
"2017-10-26","67.7713"
"2017-10-25","67.6856"
"2017-10-24","67.5567"
"2017-10-21","67.8927"
"2017-10-20","67.9333"
"2017-10-19","67.3577"
"2017-10-18","67.4596"
"2017-10-17","67.2988"
"2017-10-14","68.1409"
"2017-10-13","68.4455"
"2017-10-12","68.5032"
"2017-10-11","68.3557"
"2017-10-10","68.3861"
"2017-10-07","67.5344"
"2017-10-06","67.7787"
"2017-10-05","67.9357"
"2017-10-04","67.9839"
"2017-10-03","67.9076"
"2017-09-30","68.4483"
"2017-09-29","68.6441"
"2017-09-28","68.1678"
"2017-09-27","68.0215"
"2017-09-26","68.5553"
"2017-09-23","69.0737"
"2017-09-22","69.2635"
"2017-09-21","69.7664"
"2017-09-20","69.6785"
"2017-09-19","68.7514"
"2017-09-16","68.5801"
"2017-09-15","68.695"
"2017-09-14","69.0977"
"2017-09-13","68.5469"
"2017-09-12","68.649"
"2017-09-09","68.6923"
"2017-09-08","68.2436"
"2017-09-07","68.4165"
"2017-09-06","68.7782"
"2017-09-05","68.7256"
"2017-09-02","68.9992"
"2017-09-01","69.6222"
"2017-08-31","70.2007"
"2017-08-30","70.4316"
"2017-08-29","69.8465"
"2017-08-26","69.6995"
"2017-08-25","69.7434"
"2017-08-24","69.5619"
"2017-08-23","69.59"
"2017-08-22","69.4314"
"2017-08-19","69.7197"
"2017-08-18","69.6531"
"2017-08-17","69.9958"
"2017-08-16","70.3718"
"2017-08-15","70.6645"
"2017-08-12","70.7502"
"2017-08-11","70.2677"
"2017-08-10","70.4183"
"2017-08-09","70.8405"
"2017-08-08","70.8414"
"2017-08-05","71.6879"
"2017-08-04","71.9527"
"2017-08-03","71.6866"
"2017-08-02","70.7313"
"2017-08-01","70.4603"
"2017-07-29","69.6779"
"2017-07-28","69.6406"
"2017-07-27","69.6816"
"2017-07-26","69.7005"
"2017-07-25","69.4708"
"2017-07-22","68.6623"
"2017-07-21","68.0037"
"2017-07-20","68.2762"
"2017-07-19","68.4008"
"2017-07-18","67.6184"
"2017-07-15","68.3597"
"2017-07-14","68.8139"
"2017-07-13","69.4494"
"2017-07-12","69.2007"
"2017-07-11","68.7737"
"2017-07-08","68.947"
"2017-07-07","68.3814"
"2017-07-06","67.6754"
"2017-07-05","67.2966"
"2017-07-04","67.2016"
"2017-07-01","67.8072"
"2017-06-30","67.4993"
"2017-06-29","67.6868"
"2017-06-28","65.9563"
"2017-06-27","66.0816"
"2017-06-24","66.678"
"2017-06-23","67.1495"
"2017-06-22","66.798"
"2017-06-21","65.321"
"2017-06-20","64.8614"
"2017-06-17","64.4561"
"2017-06-16","64.2795"
"2017-06-15","63.9481"
"2017-06-14","63.7729"
"2017-06-10","63.7852"
"2017-06-09","64.1488"
"2017-06-08","63.7179"
"2017-06-07","63.7817"
"2017-06-06","63.811"
"2017-06-03","63.6092"
"2017-06-02","63.531"
"2017-06-01","63.4107"
"2017-05-31","62.9484"
"2017-05-30","63.3684"
"2017-05-27","63.6689"
"2017-05-26","63.0116"
"2017-05-25","62.9203"
"2017-05-24","63.6189"
"2017-05-23","63.1713"
"2017-05-20","63.6479"
"2017-05-19","63.9967"
"2017-05-18","62.9568"
"2017-05-17","62.0382"
"2017-05-16","61.8449"
"2017-05-13","62.0915"
"2017-05-12","62.1595"
"2017-05-11","63.2634"
"2017-05-06","64.2398"
"2017-05-05","62.7298"
"2017-05-04","62.3224"
"2017-05-03","62.1515"
"2017-04-29","62.044"
"2017-04-28","62.1664"
"2017-04-27","61.5052"
"2017-04-26","60.7932"
"2017-04-25","60.8461"
"2017-04-22","60.3187"
"2017-04-21","60.6139"
"2017-04-20","60.2649"
"2017-04-19","59.6124"
"2017-04-18","59.8393"
"2017-04-15","59.7791"
"2017-04-14","60.2867"
"2017-04-13","60.2631"
"2017-04-12","60.3042"
"2017-04-11","60.7469"
"2017-04-08","60.5687"
"2017-04-07","60.0827"
"2017-04-06","59.6948"
"2017-04-05","60.2427"
"2017-04-04","59.8953"
"2017-04-01","59.8107"
"2017-03-31","60.595"
"2017-03-30","61.5347"
"2017-03-29","61.8102"
"2017-03-28","61.9615"
"2017-03-25","61.8636"
"2017-03-24","62.0959"
"2017-03-23","62.2699"
"2017-03-22","61.7308"
"2017-03-21","61.6956"
"2017-03-18","62.3722"
"2017-03-17","62.4897"
"2017-03-16","62.8428"
"2017-03-15","62.7447"
"2017-03-14","63.2661"
"2017-03-11","62.7408"
"2017-03-10","61.9911"
"2017-03-09","61.7063"
"2017-03-08","61.7063"
"2017-03-07","61.8606"
"2017-03-04","61.985"
"2017-03-03","61.5198"
"2017-03-02","61.5417"
"2017-03-01","61.3883"
"2017-02-28","61.2569"
"2017-02-25","61.43"
"2017-02-23","60.4535"
"2017-02-22","61.209"
"2017-02-21","61.6987"
"2017-02-18","61.4496"
"2017-02-17","60.654"
"2017-02-16","60.0249"
"2017-02-15","61.2955"
"2017-02-14","61.7662"
"2017-02-11","62.6824"
"2017-02-10","63.0253"
"2017-02-09","63.4467"
"2017-02-08","63.2362"
"2017-02-07","63.1566"
"2017-02-04","63.8156"
"2017-02-03","64.7307"
"2017-02-02","65.0322"
